target_name,kepid,tic_id,source_table,label,period,duration,depth,rp,rp_est,rstar,teff,logg,period_missing,duration_missing,depth_missing,rp_missing,rp_est_missing,rstar_missing,teff_missing,logg_missing,label_idx
,10480982.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10485250.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10526549.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10583066.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10583180.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10601284.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10601284.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10601284.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,2306756.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10662202.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10682541.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11460018.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11463211.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,11465813.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,11493732.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,11507101.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10910878.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10910878.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10987985.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11018648.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11018648.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11138155.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11152159.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,11153539.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11242721.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,9579641.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
